11:42:32.389 [NamespaceSystem-akka.actor.default-dispatcher-5] INFO akka.event.slf4j.Slf4jLogger - Slf4jLogger started
11:42:32.649 [main] INFO com.firebase.server.forge.App$ - Listening at localhost:9000
11:47:17.878 [NamespaceSystem-akka.actor.default-dispatcher-11] WARN com.firebase.server.forge.App$ - Received service account token ya29...yZjf, assuming ownership.
11:47:18.684 [NamespaceSystem-akka.actor.default-dispatcher-12] WARN com.firebase.server.forge.App$ - Received service account token ya29...Ht1i, assuming ownership.
11:47:59.411 [NamespaceSystem-akka.actor.default-dispatcher-11] WARN com.firebase.server.forge.App$ - Received service account token ya29...yP1a, assuming ownership.
11:48:31.340 [NamespaceSystem-akka.actor.default-dispatcher-11] WARN com.firebase.server.forge.App$ - Received service account token ya29...3Vd4, assuming ownership.
12:42:16.898 [NamespaceSystem-akka.actor.default-dispatcher-95] WARN com.firebase.server.forge.App$ - Received service account token ya29...jEqu, assuming ownership.
12:42:17.689 [NamespaceSystem-akka.actor.default-dispatcher-96] WARN com.firebase.server.forge.App$ - Received service account token ya29...ZXa_, assuming ownership.
12:42:58.438 [NamespaceSystem-akka.actor.default-dispatcher-95] WARN com.firebase.server.forge.App$ - Received service account token ya29...eBSP, assuming ownership.
12:43:30.348 [NamespaceSystem-akka.actor.default-dispatcher-95] WARN com.firebase.server.forge.App$ - Received service account token ya29...08xa, assuming ownership.
12:51:13.271 [NamespaceSystem-akka.actor.default-dispatcher-112] WARN com.firebase.server.forge.App$ - Received service account token ya29...ZDly, assuming ownership.
12:51:15.769 [NamespaceSystem-akka.actor.default-dispatcher-116] WARN com.firebase.server.forge.App$ - Received service account token ya29...Gd66, assuming ownership.
12:52:09.166 [NamespaceSystem-akka.actor.default-dispatcher-119] WARN com.firebase.server.forge.App$ - Received service account token ya29...SQXG, assuming ownership.
13:37:16.041 [NamespaceSystem-akka.actor.default-dispatcher-224] WARN com.firebase.server.forge.App$ - Received service account token ya29...pUfS, assuming ownership.
13:37:16.971 [NamespaceSystem-akka.actor.default-dispatcher-224] WARN com.firebase.server.forge.App$ - Received service account token ya29...rszg, assuming ownership.
13:37:57.556 [NamespaceSystem-akka.actor.default-dispatcher-223] WARN com.firebase.server.forge.App$ - Received service account token ya29...aao3, assuming ownership.
13:38:29.389 [NamespaceSystem-akka.actor.default-dispatcher-237] WARN com.firebase.server.forge.App$ - Received service account token ya29...GYWd, assuming ownership.
13:46:12.384 [NamespaceSystem-akka.actor.default-dispatcher-242] WARN com.firebase.server.forge.App$ - Received service account token ya29...ZCCl, assuming ownership.
13:46:14.955 [NamespaceSystem-akka.actor.default-dispatcher-245] WARN com.firebase.server.forge.App$ - Received service account token ya29...MZmE, assuming ownership.
13:47:08.257 [NamespaceSystem-akka.actor.default-dispatcher-246] WARN com.firebase.server.forge.App$ - Received service account token ya29...fEZz, assuming ownership.
14:32:15.071 [NamespaceSystem-akka.actor.default-dispatcher-299] WARN com.firebase.server.forge.App$ - Received service account token ya29...8PPS, assuming ownership.
14:32:15.958 [NamespaceSystem-akka.actor.default-dispatcher-299] WARN com.firebase.server.forge.App$ - Received service account token ya29...E2Uc, assuming ownership.
14:32:56.572 [NamespaceSystem-akka.actor.default-dispatcher-301] WARN com.firebase.server.forge.App$ - Received service account token ya29...n99G, assuming ownership.
14:33:28.440 [NamespaceSystem-akka.actor.default-dispatcher-303] WARN com.firebase.server.forge.App$ - Received service account token ya29...5gbv, assuming ownership.
14:41:11.434 [NamespaceSystem-akka.actor.default-dispatcher-308] WARN com.firebase.server.forge.App$ - Received service account token ya29...vozk, assuming ownership.
