13:32:25.942 [NamespaceSystem-akka.actor.default-dispatcher-5] INFO akka.event.slf4j.Slf4jLogger - Slf4jLogger started
13:32:26.105 [main] INFO com.firebase.server.forge.App$ - Listening at localhost:9000
13:32:40.381 [NamespaceSystem-akka.actor.default-dispatcher-8] WARN com.firebase.server.forge.App$ - Received service account token ya29...ALwB, assuming ownership.
13:32:41.290 [NamespaceSystem-akka.actor.default-dispatcher-8] WARN com.firebase.server.forge.App$ - Received service account token ya29...pTCn, assuming ownership.
13:45:47.188 [NamespaceSystem-akka.actor.default-dispatcher-24] WARN com.firebase.server.forge.App$ - Received service account token ya29...eZul, assuming ownership.
14:18:33.377 [NamespaceSystem-akka.actor.default-dispatcher-69] WARN com.firebase.server.forge.App$ - Received service account token ya29...-0Jq, assuming ownership.
14:19:56.329 [NamespaceSystem-akka.actor.default-dispatcher-75] WARN com.firebase.server.forge.App$ - Received service account token ya29...tY5C, assuming ownership.
14:27:39.395 [NamespaceSystem-akka.actor.default-dispatcher-89] WARN com.firebase.server.forge.App$ - Received service account token ya29...4JsN, assuming ownership.
14:27:40.270 [NamespaceSystem-akka.actor.default-dispatcher-90] WARN com.firebase.server.forge.App$ - Received service account token ya29...i4J-, assuming ownership.
14:40:46.214 [NamespaceSystem-akka.actor.default-dispatcher-117] WARN com.firebase.server.forge.App$ - Received service account token ya29...PW1S, assuming ownership.
15:13:32.388 [NamespaceSystem-akka.actor.default-dispatcher-179] WARN com.firebase.server.forge.App$ - Received service account token ya29...j_f-, assuming ownership.
15:14:55.306 [NamespaceSystem-akka.actor.default-dispatcher-183] WARN com.firebase.server.forge.App$ - Received service account token ya29...He2Z, assuming ownership.
15:22:38.423 [NamespaceSystem-akka.actor.default-dispatcher-187] WARN com.firebase.server.forge.App$ - Received service account token ya29...8J4y, assuming ownership.
15:22:39.311 [NamespaceSystem-akka.actor.default-dispatcher-188] WARN com.firebase.server.forge.App$ - Received service account token ya29...xOfI, assuming ownership.
15:35:32.986 [NamespaceSystem-akka.actor.default-dispatcher-215] WARN com.firebase.server.forge.App$ - Received service account token ya29...V_N9, assuming ownership.
15:35:45.226 [NamespaceSystem-akka.actor.default-dispatcher-221] WARN com.firebase.server.forge.App$ - Received service account token ya29...kfFC, assuming ownership.
16:08:31.433 [NamespaceSystem-akka.actor.default-dispatcher-283] WARN com.firebase.server.forge.App$ - Received service account token ya29...zQBq, assuming ownership.
16:09:54.335 [NamespaceSystem-akka.actor.default-dispatcher-287] WARN com.firebase.server.forge.App$ - Received service account token ya29...X8Zo, assuming ownership.
16:17:37.462 [NamespaceSystem-akka.actor.default-dispatcher-307] WARN com.firebase.server.forge.App$ - Received service account token ya29...NBKs, assuming ownership.
16:17:38.349 [NamespaceSystem-akka.actor.default-dispatcher-307] WARN com.firebase.server.forge.App$ - Received service account token ya29...shmG, assuming ownership.
16:30:31.999 [NamespaceSystem-akka.actor.default-dispatcher-322] WARN com.firebase.server.forge.App$ - Received service account token ya29...ACFx, assuming ownership.
16:30:44.722 [NamespaceSystem-akka.actor.default-dispatcher-325] WARN com.firebase.server.forge.App$ - Received service account token ya29...ot5d, assuming ownership.
17:03:30.539 [NamespaceSystem-akka.actor.default-dispatcher-350] WARN com.firebase.server.forge.App$ - Received service account token ya29...xIZ2, assuming ownership.
17:04:53.349 [NamespaceSystem-akka.actor.default-dispatcher-356] WARN com.firebase.server.forge.App$ - Received service account token ya29...7JhQ, assuming ownership.
17:12:36.510 [NamespaceSystem-akka.actor.default-dispatcher-367] WARN com.firebase.server.forge.App$ - Received service account token ya29...D4JO, assuming ownership.
17:12:37.341 [NamespaceSystem-akka.actor.default-dispatcher-367] WARN com.firebase.server.forge.App$ - Received service account token ya29...Ra_f, assuming ownership.
17:25:31.012 [NamespaceSystem-akka.actor.default-dispatcher-385] WARN com.firebase.server.forge.App$ - Received service account token ya29...Xibg, assuming ownership.
17:25:43.772 [NamespaceSystem-akka.actor.default-dispatcher-390] WARN com.firebase.server.forge.App$ - Received service account token ya29...hIq9, assuming ownership.
22:33:55.252 [NamespaceSystem-akka.actor.default-dispatcher-400] WARN com.firebase.server.forge.App$ - Received service account token ya29...S2Z3, assuming ownership.
22:33:55.255 [NamespaceSystem-akka.actor.default-dispatcher-399] WARN com.firebase.server.forge.App$ - Received service account token ya29...YDG7, assuming ownership.
22:33:55.270 [NamespaceSystem-akka.actor.default-dispatcher-402] WARN com.firebase.server.forge.App$ - Received service account token ya29...A4pM, assuming ownership.
22:33:55.274 [NamespaceSystem-akka.actor.default-dispatcher-402] WARN com.firebase.server.forge.App$ - Received service account token ya29...-7C4, assuming ownership.
22:33:55.275 [NamespaceSystem-akka.actor.default-dispatcher-399] WARN com.firebase.server.forge.App$ - Received service account token ya29...7mjW, assuming ownership.
